date,title,summary
2/25/2026  5:00:00 PM,NVIDIA Q4 Fiscal 2026 Earnings Call,"NVIDIA reported record Q4 revenue of $68.1 billion, up 73% YoY. CEO Jensen Huang highlighted the massive ramp of Blackwell GPUs and the emergence of 'Agentic AI' as a primary driver. Data Center revenue hit $62.3 billion, driven by hyperscalers and sovereign AI cloud initiatives. Guidance for Q1 FY27 was set at $72.0 billion."
11/19/2025  5:00:00 PM,NVIDIA Q3 Fiscal 2026 Earnings Call,"Q3 revenue reached $57.0 billion. Sentiment was dominated by the early delivery of Blackwell systems and strong demand for H200 networking solutions. Management addressed supply chain efficiency, noting that CoWoS capacity is improving but remains a long-term constraint for meeting total global demand."
8/27/2025  5:00:00 PM,NVIDIA Q2 Fiscal 2026 Earnings Call,"Revenue hit $46.7 billion. Key focus was on 'Sovereign AI'—governments building domestic AI infrastructure. Management highlighted massive software adoption via NVIDIA AI Enterprise. China revenue remained stable but lower as a percentage of total, offset by strength in the Middle East and Europe."
5/21/2025  5:00:00 PM,NVIDIA Q1 Fiscal 2026 Earnings Call,"Revenue of $44.1 billion. The call focused on the transition from Hopper to Blackwell architecture. Management addressed concerns regarding a potential 'air pocket' in demand, reassuring investors that Blackwell demand is multi-generational. Industrial robotics and Omniverse segments were highlighted as future growth pillars."
2/21/2025  5:00:00 PM,NVIDIA Q4 Fiscal 2025 Earnings Call,Annual revenue hit $130.5 billion. Jensen Huang described a 'tipping point' for Generative AI. Sentiment was exceptionally high as Data Center revenue crossed $100 billion for the first time annually. Discussion included the GB200 Superchip roadmap and liquid-cooling infrastructure requirements for new data centers.
11/20/2024  5:00:00 PM,NVIDIA Q3 Fiscal 2025 Earnings Call,"Revenue of $35.1 billion. Call was focused on supply chain bottlenecks. Management noted that while demand is insatiable, production is limited by advanced packaging availability. Positive sentiment around Spectrum-X networking which began contributing significant revenue as an Ethernet-based alternative for AI."
8/28/2024  5:00:00 PM,NVIDIA Q2 Fiscal 2025 Earnings Call,"Revenue hit $30.0 billion, doubling YoY. Management highlighted the shift of the world's $1 trillion data center install base to accelerated computing. Sentiment remained bullish on H100/H200 demand. Announced a 10-for-1 stock split earlier in the quarter was discussed as a move for employee/investor accessibility."
5/22/2024  5:00:00 PM,NVIDIA Q1 Fiscal 2025 Earnings Call,Revenue reached $26.0 billion. Management introduced the concept of 'AI Factories' where data centers produce intelligence. Sentiment was high due to strong forward guidance. Discussion included the GTC 2024 Blackwell launch and the expanding ecosystem of developers using CUDA.
2/21/2024  5:00:00 PM,NVIDIA Q4 Fiscal 2024 Earnings Call,NVIDIA shattered expectations with $22.1 billion in revenue. Data Center revenue up 409% YoY. Management pointed to a massive platform shift toward Generative AI. Sentiment was overwhelmingly positive as the 'AI Gold Rush' was reflected in the balance sheet for the first time at scale.
11/21/2023  5:00:00 PM,NVIDIA Q3 Fiscal 2024 Earnings Call,"Revenue of $18.1 billion. The primary sentiment hurdle was new US government export controls on China. Management noted that while China revenue would decline, growth in other regions was more than sufficient to compensate. H100 adoption remained the central narrative."
