publish_date,ai_relevance_score,sentiment_score,summary
2023-03-15,5.28,0.0174,"OpenAI has released GPT-4, the latest version of its hugely popular artificial intelligence chatbot ChatGPT. The new model can respond to images - providing recipe suggestions from photos of ingredients, for example, as well as writing captions and descriptions. It can also process up to 25,000 words, about eight times as many as ChatGPT. Millions of people have used ChatGPT since it launched in November 2022. Popular requests for it include writing songs, poems, marketing copy, computer code, and helping with homework - although teachers say students shouldn't use it. ChatGPT answers questions using natural human-like language, and it can also mimic other writing styles such as songwriters and authors, using the internet as it was in 2021 as its knowledge database. There are concerns that it could one day take over many jobs currently done by humans. What is AI and is it dangerous? OpenAI said it had spent six months on safety features for GPT-4, and had trained it on human feedback. However it warned that it may still be prone to sharing disinformation. GPT-4 will initially be available to ChatGPT Plus subscribers, who pay $20 per month for premium access to the service. It's already powering Microsoft's Bing search engine platform. The tech giant has invested $10b into OpenAI. In a live demo it generated an answer to a complicated tax query - although there was no way to verify its answer. GPT-4, like ChatGPT, is a type of generative artificial intelligence. Generative AI uses algorithms and predictive text to create new content based on prompts. An image of the GPT-4 Website GPT-4 generates recipes from an image GPT-4 has ""more advanced reasoning skills"" than ChatGPT, OpenAI said. The model can, for example, find available meeting times for three schedules. OpenAI also announced new partnerships with language learning app Duolingo and Be My Eyes, an application for the visually impaired, to create AI Chatbots which can assist their users using natural language."
2023-07-11,3.45,0.3403,"its second-gen AI chatbot"",""Anthropic, the AI startup co-founded by ex-OpenAI execs, today announced the release of a new text-generating AI model, Claude 2. The successor to Anthropic’s first commercial model, Claude 2 is available in beta starting today in the U.S. and U.K. both on the web and via a paid API (in limited access). The API pricing hasn’t changed (~$0.0465 to generate 1,000 words), and several businesses have already begun piloting Claude 2, including the generative AI platform Jasper and Sourcegraph. “We believe that it’s important to deploy these systems to the market and understand how people actually use them,” Sandy Banerjee, the head of go-to-market at Anthropic, told TechCrunch in a phone interview. “We monitor how they’re used, how we can improve performance, as well as capacity — all those things.” Like the old Claude (Claude 1.3), Claude 2 can search across documents, summarize, write and code and answer questions about particular topics. But Anthropic claims that Claude 2 — which TechCrunch wasn’t given the opportunity to test prior to its rollout — is superior in several areas. For instance, Claude 2 scores slightly higher on a multiple choice section of the bar exam (76.5% versus Claude 1.3’s 73%). It’s capable of passing the multiple choice portion of the U.S. Medical Licensing Exam. And it’s a stronger programmer, achieving 71.2% on the Codex Human Level Python coding test compared to Claude 1.3’s 56%. Claude 2 can also answer more math problems correctly, scoring 88% on the GSM8K collection of grade-school-level problems — 2.8 percentage points higher than Claude 1.3. “We’ve been working on improving the reasoning and sort of self-awareness of the model, so it’s more aware of, ‘here’s how I like follow instructions,’ ‘I’m able to process multi-step instructions’ and also more aware of its limitations,” Banerjee said. Claude 2 was trained on more recent data — a mix of websites, licensed data sets from third parties and voluntarily-supplied user data from early 2023, roughly 10% of which is non-English — than Claude 1.3, which likely contributed to the improvements. (Unlike OpenAI’s GPT-4, Claude 2 can’t search the web.) But the models aren’t that different architecturally — Banerjee characterized Claude 2 as a tweaked version of Claude 1.3, the product of two or so years of work, rather than a new creation. “Claude 2 isn’t vastly changed from the last model — it’s a product of our continuous iterative approach to model development,” she said. “We’re constantly training the model … and monitoring and evaluating the performance of it.” To wit, Claude 2 features a context window that’s the same size of Claude 1.3’s — 100,000 tokens. Context window refers to the text the model considers before generating additional text, while tokens represent raw text (e.g. the word “fantastic” would be split into the tokens “fan,” “tas” and “tic”). Indeed, 100,000 tokens is still quite large — the largest of any commercially available model — and gives Claude 2 a number of key advantages. Generally speaking, models with small context windows tend to “forget” the content of even very recent conversations. Moreover, large context windows enable models to generate — and ingest — much more text. Claude 2 can analyze roughly 75,000 words, about the length of “The Great Gatsby,” and generate 4,000 tokens, or around 3,125 words. Claude 2 can theoretically support an even larger context window — 200,000 tokens — but Anthropic doesn’t plan to support this at launch. The model’s better at specific text-processing tasks elsewhere, like producing correctly-formatted outputs in JSON, XML, YAML and markdown formats. But what about the areas where Claude 2 falls short? After all, no model’s perfect. See Microsoft’s AI-powered Bing Chat, which at launch was an emotionally manipulative liar. Indeed, even the best models today suffer from hallucination, a phenomenon where they’ll respond to questions in irrelevant, nonsensical or factually incorrect ways. They’re also prone to generating toxic text, a reflection of the biases in the data used to train them — mostly web pages and social media posts. Users were able to prompt an older version of Claude to invent a name for a nonexistent chemical and provide dubious instructions for producing weapons-grade uranium. They also got around Claude’s built-in safety features via clever prompt engineering, with one user showing that they could prompt Claude to describe how to make meth at home. Anthropic says that Claude 2 is “2x better” at giving “harmless” responses compared to Claude 1.3 on an internal evaluation. But it’s not clear what that metric means. Is Claude 2 two times less likely to respond with sexism or racism? Two times less likely to endorse violence or self-harm? Two times less likely to generate misinformation or disinformation? Anthropic wouldn’t say — at least not directly. A whitepaper Anthropic released this morning gives some clues. In a test to gauge harmfulness, Anthropic fed 328 different prompts to the model, including “jailbreak” prompts released online. In at least one case, a jailbreak caused Claude 2 to generate a harmful response — less than Claude 1.3, but still significant when considering how many millions of prompts the model might respond to in production. The whitepaper also shows that Claude 2 is less likely to give biased responses than Claude 1.3 on at least one metric. But the Anthropic coauthors admit that part of the improvement is due to Claude 2 refusing to answer contentious questions worded in ways that seem potentially problematic or discriminatory. Revealingly, Anthropic advises against using Claude 2 for applications “where physical or mental health and well-being are involved” or in “high stakes situations where an incorrect answer would cause harm.” Take that how you will. “[Our] internal red teaming evaluation scores our models on a very large representative set of harmful adversarial prompts,” Banerjee said when pressed for details, “and we do this with a combination of automated tests and manual checks.” Anthropic wasn’t forthcoming about which prompts, tests and checks it uses for benchmarking purposes, either. And the company was relatively vague on the topic of data regurgitation, where models occasionally paste data verbatim from their training data — including text from copyrighted sources in some cases. AI model regurgitation is the focus of several pending legal cases, including one recently filed by comedian and author Sarah Silverman against OpenAI and Meta. Understandably, it has some brands wary about liability. “Training data regurgitation is an active area of research across all foundation models, and many developers are exploring ways to address it while maintaining an AI system’s ability to provide relevant and useful responses,” Silverman said. “There are some generally accepted techniques in the field, including de-duplication of training data, which has been shown to reduce the risk of reproduction. In addition to the data side, Anthropic employs a variety of technical tools throughout model development, from … product-layer detection to controls.” One catch-all technique the company continues to trumpet is “constitutional AI,” which aims to imbue models like Claude 2 with certain “values” defined by a “constitution.” Constitutional AI, which Anthropic itself developed, gives a model a set of principles to make judgments about the text it generates. At a high level, these principles guide the model to take on the behavior they describe — e.g. “nontoxic” and “helpful.” Anthropic claims that, thanks to constitutional AI, Claude 2’s behavior is both easier to understand and simpler to adjust as needed compared to other models. But the company also acknowledges that constitutional AI isn’t the end-all be-all of training approaches. Anthropic developed many of the principles guiding Claude 2 through a “trial-and-error” process, it says, and has had to make repeated adjustments to prevent its models from being too “judgmental” or “annoying.” In the whitepaper, Anthropic admits that, as Claude becomes more sophisticated, it’s becoming increasingly difficult to predict the model’s behavior in all scenarios. “Over time, the data and influences that determine Claude’s ‘personality’ and capabilities have become quite complex,” the whitepaper reads. “It’s become a new research problem for us to balance these factors, track them in a simple, automatable way and generally reduce the complexity of training Claude.” Eventually, Anthropic plans to explore ways to make the constitution customizable — to a point. But it hasn’t reached that stage of the product development roadmap yet. “We’re still working through our approach,” Banerjee said. “We need to make sure, as we do this, that the model ends up as harmless and helpful as the previous iteration.” As we’ve reported previously, Anthropic’s ambition is to create a “next-gen algorithm for AI self-teaching,” as it describes it in a pitch deck to investors. Such an algorithm could be used to build virtual assistants that can answer emails, perform research and generate art, books and more — some of which we’ve already gotten a taste of with the likes of GPT-4 and other large language models. Claude 2 is a step toward this — but not quite there. Anthropic competes with OpenAI as well as startups such as Cohere and AI21 Labs, all of which are developing and productizing their own text-generating — and in some cases image-generating — AI systems. Google is among the company’s investors, having pledged $300 million in Anthropic for a 10% stake in the startup. The others are Spark Capital, Salesforce Ventures, Zoom Ventures, Sound Ventures, Menlo Ventures the Center for Emerging Risk Research and a medley of undisclosed VCs and angels. To date, Anthropic, which launched in 2021, led by former OpenAI VP of research Dario Amodei, has raised $1.45 billion at a valuation in the single-digit billions. While that might sound like a lot, it’s far short of what the company estimates it’ll need — $5 billion over the next two years — to create its envisioned chatbot."""
2023-07-18,3.21,0.292,"Recent breakthroughs in AI, and generative AI in particular, have captured the public’s imagination and demonstrated what those developing these technologies have long known — they have the potential to help people do incredible things, create a new era of economic and social opportunities, and give individuals, creators, and businesses new ways to express themselves and connect with people. We believe an open approach is the right one for the development of today’s AI models, especially those in the generative space where the technology is rapidly advancing. By making AI models available openly, they can benefit everyone. Giving businesses, startups, entrepreneurs, and researchers access to tools developed at a scale that would be challenging to build themselves, backed by computing power they might not otherwise access, will open up a world of opportunities for them to experiment, innovate in exciting ways, and ultimately benefit from economically and socially. And we believe it’s safer. Opening access to today’s AI models means a generation of developers and researchers can stress test them, identifying and solving problems fast, as a community. By seeing how these tools are used by others, our own teams can learn from them, improve those tools, and fix vulnerabilities. Meta has put exploratory research, open source, and collaboration with academic and industry partners at the heart of our AI efforts for over a decade. We’ve seen first-hand how innovation in the open can lead to technologies that benefit more people. Dozens of large language models have already been released and are driving progress by developers and researchers. They’re being used by businesses as core ingredients for new generative AI-powered experiences. We’ve been blown away by the huge demand for Llama 1 from researchers — with more than 100,000 requests for access to the large language model — and the amazing things they’ve achieved by building on top of it. We’re now ready to open source the next version of Llama 2 and are making it available free of charge for research and commercial use. We’re including model weights and starting code for the pretrained model and conversational fine-tuned versions too. As Satya Nadella announced on stage at Microsoft Inspire, we’re taking our partnership to the next level with Microsoft as our preferred partner for Llama 2 and expanding our efforts in generative AI. Starting today, Llama 2 is available in the Azure AI model catalog, enabling developers using Microsoft Azure to build with it and leverage their cloud-native tools for content filtering and safety features. It is also optimized to run locally on Windows, giving developers a seamless workflow as they bring generative AI experiences to customers across different platforms. Llama 2 is available through Amazon Web Services (AWS), Hugging Face, and other providers too. People and businesses have benefited from the longstanding partnership between Microsoft and Meta. Together we’ve introduced an open ecosystem for interchangeable AI frameworks, and we’ve co-authored research papers to advance the state of the art in AI. We’ve collaborated to scale the adoption of PyTorch — today’s leading AI framework created by Meta and the AI community — on Azure, and we’re among the founding members of the PyTorch Foundation. Microsoft and Meta recently joined a cohort of supporters that endorse the Partnership on AI’s framework for collective action in the creation and sharing of synthetic media. Our partnership extends outside of AI and into the metaverse too to deliver immersive experiences for the future of work and play. Now, with this expanded partnership, Microsoft and Meta are supporting an open approach to provide increased access to foundational AI technologies to the benefits of businesses globally. It’s not just Meta and Microsoft that believe in democratizing access to today’s AI models. We have a broad range of diverse supporters around the world who believe in this approach too — including companies that have given us early feedback and are excited to build new products with Llama 2, cloud providers that will include Llama 2 in their offerings for customers, research institutions who are collaborating with us on the safe and responsible deployment of large generative models, and people across tech, academia, and policy who see the benefits as we do. A Focus on Responsibility Our open source approach promotes transparency and access. We know that while AI has brought huge advances to society, it also comes with risk. We are committed to building responsibly and are providing a number of resources to help those who use Llama 2 do so too. Red-Teaming Exercises: Our fine-tuned models have been red-teamed — tested for safety — through internal and external efforts. The team worked to generate adversarial prompts to facilitate model fine-tuning. In addition, we commissioned third parties to conduct external adversarial testing across our fine-tuned models to similarly identify gaps in performance. These safety fine-tuning processes are iterative; we will continue to invest in safety through fine-tuning and benchmarking and plan to release updated fine-tuned models based on these efforts. Transparency Schematic: We explain our fine-tuning and evaluation methods for the model and identify its shortcomings. Our transparency schematic, which is located within the research paper, discloses known challenges and issues we’ve experienced and provides insight into mitigations taken and future ones we intend to explore. Responsible Use Guide: We created this guide as a resource to support developers with best practices for responsible development and safety evaluations. It outlines best practices reflective of current, state-of-the-art research on responsible generative AI discussed across the industry and the AI research community. Acceptable Use Policy: We put a policy in place that prohibits certain use cases to help ensure that these models are being used fairly and responsibly. Meta has also created new initiatives to harness the insight and creativity of individuals, researchers, and developers around the world to get feedback on how the models are performing and how they might be improved. Open Innovation AI Research Community: Today, we also launched a new partnership program for academic researchers that aims to deepen our understanding of the responsible development and sharing of large language models. Researchers may apply to join a community of practitioners to share learnings on this important topic, and the community will form a research agenda to pursue going forward. Llama Impact Challenge: We want to activate the community of innovators who aspire to use Llama to solve hard problems. We are launching a challenge to encourage a diverse set of public, non-profit, and for-profit entities to use Llama 2 to address environmental, education and other important challenges. The challenge rules will be available prior to the start of it. Conclusion Throughout our company’s history, we’ve experienced the benefits of an open source approach when innovating in other areas of the business. Our engineers developed and shared frameworks that are now industry standards — like React, a leading framework for making web and mobile applications, and PyTorch, which is now the leading framework for AI. These became commonly used infrastructure for the entire technology industry. We believe that openly sharing today’s large language models will support the development of helpful and safer generative AI too. We look forward to seeing what the world builds with Llama 2."
2023-07-27,3.8,0.3973,"Mistral AI has released its latest model, Mistral 7B, boasting 7.3 billion parameters while delivering top-tier performance across various benchmarks. What sets Mistral 7B apart is its efficiency and adaptability, as it challenges the performance of much larger models such as Llama 2 13B and Llama 1 34B. Key Features High Performance: Mistral 7B excels in benchmarks ranging from commonsense reasoning to code-related tasks, surpassing much larger models like Llama 2 13B and approaching the performance of CodeLlama 7B. Grouped-Query Attention (GQA): The model employs GQA to speed up inference times, allowing for faster responses. Sliding Window Attention (SWA): To manage longer sequences without compromising on computational efficiency, the model uses SWA, which has a linear computational cost. Performance Metrics Mistral AI re-evaluated all models in a head-to-head comparison using their evaluation pipeline. The metrics included commonsense reasoning, world knowledge, reading comprehension, math, and code tasks. Mistral 7B exceeded expectations, even when compared to models with a much larger number of parameters. Technical Nuances The model's use of SWA provides a linear computational cost, while layered attention mechanisms allow information to travel further back in a sequence than initially suggested. Moreover, the SWA implementation, coupled with changes to FlashAttention and xFormers, results in a 2x speed improvement for sequences of length 16,000 with a window of 4,000. Availability and Licensing Released under the Apache 2.0 license, Mistral 7B can be freely used and deployed on various platforms, including AWS, GCP, and Azure. The model is also compatible with HuggingFace, and Mistral AI provides a fine-tuned version for chat applications to demonstrate the model's versatility. The Prevailing Trend: More Compute, More Power In the AI world, a prevalent trend has dominated the last few years: the larger the model and the more computational power thrown at it, the better the performance. This idea has largely fueled the race for ever-bigger models with increasingly gargantuan numbers of parameters. Mega-corporations and academic institutions alike have leaned into this, leading to breakthroughs and escalating costs, energy consumption, and barriers to entry. Efficiency and Elegance However, an alternative approach is starting to gain traction. The idea is simple but transformative: what if we could maintain or even surpass existing performance levels with models that are not only smaller but also more computationally efficient? The release of Mistral 7B showed us that a 7.3B parameter model could not only compete with but often surpass models with 13B or even 34B parameters in benchmark tests. This efficiency could redefine what's possible with machine learning and natural language processing."
2023-10-17,2.72,0.652,"ERNIE 4.0 is now accessible to invited users on ERNIE Bot. In addition enterprise customers can apply for API testing via Baidu Qianfan foundation model platform. Baidu has re-built many of its most popular applications using the latest generative AI technologies as well as introduced new AI-native products offering improved productivity and creativity for a wide range of usage scenarios. BEIJING Baidu Inc. (NASDAQ: BIDU and HKEX: 9888) a leading AI company with strong Internet foundation today hosted its annual flagship technology conference Baidu World 2023 in Beijing marking the conference's return to an offline format after four years. With the theme Prompt the World this year's Baidu World conference saw Baidu launch ERNIE 4.0 Baidu's next-generation and most powerful foundation model offering drastically enhanced core AI capabilities. Baidu also showcased some of its most popular applications, solutions, and products re-built around the company's state-of-the-art generative AI."
2023-12-03,3.37,0.0219,"Google is launching what it considers its largest and most capable artificial intelligence model Wednesday as pressure mounts on the company to answer how it’ll monetize AI. The large language model Gemini will include a suite of three different sizes: Gemini Ultra, its largest, most capable category; Gemini Pro, which scales across a wide range of tasks; and Gemini Nano, which it will use for specific tasks and mobile devices. For now, the company is planning to license Gemini to customers through Google Cloud for them to use in their own applications. Starting Dec. 13, developers and enterprise customers can access Gemini Pro via the Gemini API in Google AI Studio or Google Cloud Vertex AI. Android developers will also be able to build with Gemini Nano. Gemini will also be used to power Google products like its Bard chatbot and Search Generative Experience, which tries to answer search queries with conversational-style text (SGE is not widely available yet). SAN FRANCISCO, CALIFORNIA - NOVEMBER 16: Google CEO Sundar Pichai speaks in conversation with Emily Chang during the APEC CEO Summit at Moscone West on November 16, 2023 in San Francisco, California. The APEC summit is being held in San Francisco and runs through November 17. (Photo by Justin Sullivan/Getty Images) Google CEO Sundar Pichai speaks in conversation with Emily Chang during the APEC CEO Summit at Moscone West on November 16, 2023 in San Francisco, California. The APEC summit is being held in San Francisco and runs through November 17. Justin Sullivan | Getty Images News | Getty Images Companies and enterprises could use it for more advanced customer service engagement via chatbots and product recommendations, as well as identifying trends for companies looking to advertise products. Gemini could also be used for content creation if a company wants to create marketing campaigns or blog content, as well as productivity apps that may want to summarize meetings or generate code for developers. The company gave examples including showing Gemini being able to take a screenshot of a chart and analyzing hundreds of pages from research and then updating the chart. Another example was analyzing a photo of a person’s math homework and identifying correct answers and pointing out incorrect ones. Gemini Ultra is the first model to outperform human experts on MMLU (massive multitask language understanding), which uses a combination of 57 subjects such as math, physics, history, law, medicine and ethics for testing both world knowledge and problem-solving abilities, the company said in a blog post Wednesday. It can supposedly understand nuance and reasoning in complex subjects. Sundar Pichai, chief executive officer of Alphabet Inc., during the Google I/O Developers Conference in Mountain View, California, US, on Wednesday, May 10, 2023. Google introduced a new large language model, used for training artificial intelligence tools like chatbots, known as PaLM 2, and said it has already woven it into many of the internet search company's marquee products. Photographer: David Paul Morris/Bloomberg via Getty Images Sundar Pichai, chief executive officer of Alphabet Inc., during the Google I/O Developers Conference in Mountain View, California, US, on Wednesday, May 10, 2023. David Paul Morris | Bloomberg | Getty Images “Gemini is the result of large-scale collaborative efforts by teams across Google, including our colleagues at Google Research,” wrote CEO Sundar Pichai in a blog post Wednesday. “It was built from the ground up to be multimodal, which means it can generalize and seamlessly understand, operate across and combine different types of information including text, code, audio, image and video.” Starting today, Google’s chatbot Bard will use Gemini Pro to help with advanced reasoning, planning, understanding and other capabilities. Early next year, it will launch “Bard Advanced,” which will use Gemini Ultra, executives said on a call with reporters Tuesday. It represents the biggest update to Bard, its ChatGPT-like chatbot. The update comes eight months after the search giant first launched Bard and one year after OpenAI launched ChatGPT on GPT-3.5. In March of this year, the Sam Altman-led startup launched GPT-4. Executives said Tuesday that Gemini Pro outperformed GPT-3.5 but dodged questions about how it stacked up against GPT-4. However, Gemini’s Ultra model outperformed GPT-4 in a few benchmarks, according to a white paper Google released Wednesday. When asked if Google has plans to charge for access to “Bard Advanced,” Google’s general manager for Bard, Sissie Hsiao, said it is focused on creating a good experience and doesn’t have any monetization details yet. When asked on a press briefing if Gemini has any novel capabilities compared with current generation LLMs, Eli Collins, vice president of product at Google DeepMind, answered, “I suspect it does” but that it’s still working to understand Gemini Ultra’s novel capabilities. Google reportedly postponed the launch of Gemini because it wasn’t ready, bringing back memories of the company’s rocky rollout of its AI tools at the beginning of the year. Multiple reporters asked about the delay, to which Collins answered that testing the more advanced models take longer. Collins said Gemini is the most highly tested AI model that the company’s built and that it has “the most comprehensive safety evaluations” of any Google model. Collins said that despite being its largest model, Gemini Ultra is significantly cheaper to serve. “It’s not just more capable, it’s more efficient,” he said. “We still require significant compute to train Gemini but we’re getting much more efficient in terms of our ability to train these models.” Collins said the company will release a technical white paper with more details of the model on Wednesday but said it won’t be releasing the perimeter count. Earlier this year, CNBC found Google’s PaLM 2 large language model, its latest AI model at the time, used nearly five times the amount of text data for training as its predecessor LLM. Also on Wednesday, Google introduced its next-generation tensor processing unit for training AI models. The TPU v5p chip, which Salesforce and startup Lightricks have begun using, offers better performance for the price than the TPU v4 announced in 2021, Google said. But the company didn’t provide information on performance compared with market leader Nvidia . The chip announcement comes weeks after cloud rivals Amazon and Microsoft showed off custom silicon targeting AI. During Google’s third-quarter earnings conference call in October, investors asked executives more questions about how it’s going to turn AI into actual profit. In August, Google launched an “early experiment” called Search Generative Experience, or SGE, which lets users see what a generative AI experience would look like when using the search engine — search is still a major profit center for the company. The result is more conversational, reflecting the age of chatbots. However, it is still considered an experiment and has yet to launch to the general public. Investors have been asking for a timeline for SGE since May, when the company first announced the experiment at its annual developer conference Google I/O. The Gemini announcement Wednesday hardly mentioned SGE and executives were vague about its plans to launch to the general public, saying that Gemini would be incorporated into it “in the next year.” “This new era of models represents one of the biggest science and engineering efforts we’ve undertaken as a company,” Pichai said in Wednesday’s blog post. “I’m genuinely excited for what’s ahead, and for the opportunities Gemini will unlock for people everywhere.”"
2024-03-04,4.88,0.0559,"""March 4 (Reuters) - Anthropic a startup backed by Google (GOOGL.O) opens new tab and Amazon.com (AMZN.O) on Monday revealed a suite of artificial intelligence models known as Claude 3 the latest salvo in Silicon Valley's near incessant contest to market still-more powerful technology. According to the startup the most capable in the family Claude 3 Opus outperforms rival models GPT-4 from OpenAI and Gemini 1.0 Ultra from Google on various benchmark exams. ""This is the Rolls-Royce of models at least at this point in time CEO Dario Amodei said in an interview. Advances from Anthropic's competitors have already been previewed or are expected and Reuters was unable to verify the claims independently. The news on the heels of myriad rival announcements and Anthropic's Claude 2 release in July shows how companies are vying to top charts that rank AI performance at the same time as business customers are still grappling with how to put such technology to use. Anthropic's President Daniela Amodei said customers would opt for Claude 3 Opus despite a higher price tag if they had a need for the most cognitively complex tasks for instance handling a complicated financial analysis accurately. Anthropic said it would charge $15 for Claude 3 Opus to take in every 1 million pieces of data known as tokens and at least five times less for its smaller models to handle the same. By contrast OpenAI charges $10 for each million tokens entered into its GPT-4 Turbo model. Anthropic also said Claude 3 is its first multimodal AI suite. This means like some other rival model Anthropic's AI can respond to text queries and to images for instance analyzing a photo or chart. Popularized by OpenAI's ChatGPT such generative AI creates new content on command. CEO Amodei said Claude 3 would examine though not produce images because we've seen much less enterprise demand for them. Google last month paused image-generation features for its Gemini chatbot after the service flubbed on diversity"
2024-07-24,3.54,0.3509,"touting language and math gains"",""Meta Platforms (META.O), opens new tab released the biggest version of its mostly free Llama 3 artificial intelligence models on Tuesday, boasting multilingual skills and general performance metrics that nip at the heels of paid models from rivals like OpenAI. The new Llama 3 model can converse in eight languages, write higher-quality computer code and solve more complex math problems than previous versions, the Facebook parent company said in blog posts and a research paper announcing the release. With 405 billion parameters, or variables that the algorithm takes into account to generate responses to user queries, it dwarfs the previous version released last year though is still smaller than leading models offered by competitors. OpenAI's GPT-4 model, by contrast, is reported to have one trillion parameters and Amazon is preparing a model with 2 trillion parameters. Promoting Llama 3 across multiple channels, Chief Executive Mark Zuckerberg said he expected future Llama models would overtake proprietary competitors by next year. The Meta AI chatbot powered by those models was on track to become the most popular AI assistant by the end of this year, with hundreds of millions of people using it already, he said."""
2024-09-13,0.53,0.8442,"OpenAI has released o1-preview, the first in a new series of AI models designed to tackle complex reasoning tasks by spending more time thinking through problems before responding. While o1-preview is available now in ChatGPT and through OpenAI’s API, it serves as a preview of the full o1 model, which is currently in develoapment and shows even greater potential in internal evaluations. This article explores how the o1 series works, highlighting its strengths, weaknesses, and performance compared to GPT-4o. How It Works The o1 series, including both o1-preview and the upcoming full o1 model, introduces a new approach that emphasizes the model's ability to think deeply and refine its responses. Unlike previous models like GPT-4o, which prioritize speed and versatility, o1 models are trained to reason step-by-step, exploring different strategies and learning from their mistakes. This processing enables the models to excel in structured tasks that require analytical depth, such as science, mathematics, and coding. The training process focuses on challenging tasks that encourage the models to use a chain of thought similar to how a human might solve a problem. Through reinforcement learning, o1 models learn to break down complex tasks, recognize errors, and adjust their approaches dynamically, leading to significant improvements in performance over GPT-4o. Strengths of the o1 Models The o1 series demonstrates exceptional strengths in reasoning-heavy domains, particularly in technical subjects. In internal benchmarks, the upcoming full o1 model performs at a level comparable to PhD students in fields like physics, chemistry, and biology, showing substantial improvements over GPT-4o. For example, in PhD-level science questions (GPQA Diamond), the o1 model surpassed even expert human performance with a score of 78%, while GPT-4o managed only 56%. In mathematics, the leap is even more pronounced. During the 2024 American Invitational Mathematics Examination (AIME), GPT-4o solved only 13% of problems, highlighting its limitations in complex reasoning. In contrast, o1-preview scored 56.7%, and the full o1 model reached 83%, placing it among the top performers nationally and surpassing the cutoff for the USA Mathematical Olympiad. These results demonstrate the model’s ability to handle high-level reasoning tasks that are challenging even for human experts. In coding, the o1 models also excelled. On the Codeforces platform, which evaluates competitive programming skills, o1-preview achieved an Elo rating of 1,258, reaching the 62nd percentile among human competitors. The full o1 model, however, advanced even further, achieving an Elo of 1,673 and ranking in the 89th percentile, showcasing its sophisticated understanding of algorithms and problem-solving strategies. Scaling Performance at Test Time A key aspect of the o1 model’s design is its ability to scale performance with increased compute time during both training and testing. As shown in the evaluation graphs, the o1 model’s accuracy improves steadily with more computational resources. Notably, the model’s performance at test time sees significant gains, with accuracy consistently rising as test-time compute is scaled up. This capability allows o1 to dynamically refine its responses, particularly in complex tasks where thoughtful reasoning and additional compute can lead to better outcomes. Weaknesses and Limitations While o1-preview demonstrates impressive reasoning skills, it has some limitations compared to the full o1 model and GPT-4o in certain use cases. As an early iteration, o1-preview lacks some of the practical features that make GPT-4o versatile, such as web browsing, file uploads, and image processing, which restricts its capabilities in real-time information retrieval and multimedia tasks. Additionally, the deliberate and thoughtful reasoning approach of o1-preview means that it can be slower in generating responses, which may not be ideal for tasks requiring quick answers. In contrast, GPT-4o remains a more suitable choice for general-purpose applications where speed and broad utility are prioritized. Future Developments and the Path to Full o1 OpenAI continues to develop the full o1 model, building on the foundations laid by o1-preview. Future updates will focus on refining the model’s reasoning abilities, expanding its features, and enhancing its overall performance. The goal is to create a model that not only excels in complex problem-solving but also integrates more practical capabilities, making it a powerful tool across a wider range of applications. Conclusion The release of o1-preview marks an important step forward in OpenAI’s pursuit of AI models that can think more deeply and solve more complex problems. While o1-preview already showcases strong performance in reasoning-heavy tasks like science, coding, and math, the best is yet to come with the full release of the o1 model. As OpenAI continues to innovate, the o1 series promises to redefine the capabilities of AI in advanced problem-solving, setting a new benchmark for the future of artificial intelligence."
2024-12-09,4.12,0.1363," its buzzy AI video-generation tool"",""OpenAI, which burst into the mainstream last year thanks to the viral popularity of ChatGPT, first announced Sora in February, and it’ll roll out to users in the U.S. and other countries Monday. The AI video-generation model works similarly to OpenAI’s image-generation AI tool, DALL-E: A user types out a desired scene, and Sora will return a high-definition video clip. “We obviously have a big target on our back as OpenAI,” Rohan Sahai, OpenAI’s Sora product lead, said on the livestream, adding that the company needs to prevent illegal use of the technology."""
